難易度	曲名	ソフラン	敷譜面	交差譜面	定数	BPM	演奏時間	楽曲情報
31	Vampire's ∞ pathoS	×	×	×	31.4	134	01:55.1	低速ハネリズムの中でもBPMが速い方。フィクサーほど忙しくはないものの2連同時などが存在
31	にっこり^^調査隊のテーマ	×	×	×	31.4	180	02:01.0	とにかく鳳えむとかいうキャラが可愛い曲。多少クセのある部分やくの字配置もあるので注意
31	魔法みたいなミュージック！	×	×	×	31.4	210	02:12.5	海外先行譜面からの刺客。24分3打も局所に登場するほか、終点のケアなども難しい
31	Happy Halloween	×	×	×	31.4	120	02:00.0	12分、16分、24分、32分とリズムを総動員している悪戯譜面。物理的に苦しく妥当の昇格
31	未完成讃歌	×	×	×	31.4	188	02:33.0	曲がめちゃくちゃ良いが長い。全体的に素直だが局所難や24分乱発のアウトロは注意！
31	Iなんです	×	×	×	31.4	92.5-185	01:41.4	MASTER譜面だけではBPM変化に気づけない...同時→3連打→同時の配置や間奏が厄介
31	そうだった！！	×	×	×	31.4	192	02:03.4	最高に楽しい31。こればっかりは譜面製作者を褒めちぎりたい。あと譜面の芸が細かすぎる
31	おこちゃま戦争	×	×	×	31.4	175	02:22.3	主に縦連での要求地力が高かったりスライドが奥まで行ったりと、少しチュウニズムっぽいのが特徴
31	天使のクローバー	×	×	×	31.3	193	01:50.6	サビのスライドの終点フリックは始点を動かさずにそのままフリックまで持っていくとやりやすい
31	ずんだパーリナイ	ソフラン	×	×	31.3	150-170	02:43.9	ソフランが急展開だったりリズムが難しかったりインパクトはあるが、やるうちに結構慣れる
31	ローリンガール	×	×	×	31.3	195	01:57.7	もう一回、もう一回。とばかりに16分からの同時をぶち込んでくる！やだ！
31	流星のパルス	×	×	×	31.3	192	01:54.2	認識難×くの字がかなり苦しいと判断されたのか昇格した。必要地力は確かに高めではある
31	霽れを待つ	×	×	×	31.3	168	01:49.8	実装当初30.1に設定してた自分をめちゃくちゃ殴りたい。謎の縦連配置に慣れないと苦しい
31	右肩の蝶	×	×	×	31.3	140	02:10.1	曲名に「右」があるのに左に寄る譜面が2箇所...ゴリ押しで済むような認識難とロング終点が難点
31	悪魔の踊り方	×	×	×	31.3	106	01:55.5	終点がかなり苦しいと判断され昇格したと考えている。終点に対する慣れが非常に大事
31	ももいろの鍵	×	×	×	31.2	165	02:08.2	圧倒的にゴリ押しの色が強く、譜面の見た目は31上位...とか言ってたら本当に31に上がった
31	ARQETYPE	×	×	×	31.2	240	01:35.7	圧倒的物量とラス殺しが非常に特徴的だが必要なスキルこそ少なく、ラストも最悪目押しで通過可能
31	新人類	×	×	×	31.2	144	02:32.5	やっていて楽し過ぎてプレイヤーがゴリラと化す譜面。24分が3回降ってくるが全てパターンが違う
31	モア！ジャンプ！モア！	×	×	×	31.2	202	02:00.4	他の31に比べて割と素直な配置が多く、触りやすいタイプの譜面。物量ではあるので体力の管理を
31	ジェヘナ	×	×	×	31.2	128	02:30.0	開幕やラストの4鍵はしっかり運指を組んでおこう。31クラスの譜面だが流石にハピハロに勝てない
31	トラッシュ・アンド・トラッシュ！	×	×	×	31.2	177-220	02:12.4	高速ハネの中でも基本的な配置が多め。6分音符減速地帯が特徴的なので曲を聴き込もう
31	すきなことだけでいいです	×	×	×	31.1	140	02:32.6	ラスサビは「真ん中縦連2回」→「縦連した方の手でくの字の2ノーツ目を取る」を意識で攻略が可能
31	アンハッピーリフレイン	×	×	×	31.1	205	02:06.7	「速いだけ」の権化。Aメロのフリック→タップの部分はフリックの動きを最小限にしてあげよう
31	きゅうくらりん	×	×	×	31.1	220	01:45.8	16分からの同時押しが実は一切ない。微ズレ地帯には128分も存在する...(BPM1760の16分)
31	脳内革命ガール	×	×	×	31.1	240	02:16.0	増えたBPM240族。抜けやすい部分は始点が押せてないだけだったりするので端を押そう
31	ロウワー	×	×	×	31.1	132	01:43.2	灰色などで認識難を身につけ忙しさに対応する感じの譜面。理解度によって難易度が極端に上下する
31	アイデンティティ	×	×	×	31.0	195	02:32.6	フル尺。長い。サビ前が厄介なのでフリックの動きを最小限に留めるといいかもしれない
31	キティ	×	×	×	31.0	145	01:50.3	終点フリックだけデカいギミックが多数存在する。ロングと同じ手で普段通り終点処理がオススメ
31	限りなく灰色へ	×	×	×	31.0	108	01:56.1	なぜ！！！花を唄うが上がらず！！！コイツが上がるんだ！！！！ロウワーとどちらが難しいかは諸説
30	Disco No.39	×	×	交差譜面	30.9	145	02:10.8	BPM145のハネリズムは低速ハネ界随一の忙しさ。リズムを曲を通して意識する必要があり難しい
30	フレー	×	×	×	30.9	168	02:14.3	間奏地帯が今までの譜面で見たことのない配置をしており難しい。ラストは3連打をしっかり意識
30	悔やむと書いてミライ	×	×	×	30.9	194	01:37.6	サビに容赦なく16分→同時フリックが襲いかかってくる。感覚を掴むまで練習するとよい
30	夜咄ディセイブ	×	×	×	30.8	130	02:15.0	セカイVer.基準で作ってあるからVSVer.の人は変えてみ、マジでセカイ変わるから
30	ワールズエンド・ダンスホール	×	×	×	30.8	171	01:38.1	16分に同時が絡んでくる配置が多すぎて一部の人にはとても苦しい
30	エターナルアリア	×	敷譜面	×	30.8	184	02:10.4	この音ゲーで一番いい譜面とされている(腐食談)。難しいリズムや、他の30にない奇抜な配置が特徴
30	劣等上等	×	×	×	30.7	160	01:31.1	こいつも16分→同時のオンパレード。悔やミラよりBPMは遅いがラスト発狂が難しい
30	スターダストメドレー	×	×	×	30.7	170	02:18.9	圧倒的に神曲。くの字配置や1/12ノーツが特徴的。1サビ前のスライドは直線の両端押せば取れるぞ
30	the WALL	×	×	×	30.7	183	01:44.8	くの字配置や左始動暗記配置など地力配置が多め。誰の仕業か知らんが最近自分の周りで流行っている
30	しっくおぶはうす！	×	×	×	30.7	170	02:18.0	スパイスの効いた地力譜面といった印象。花を唄う系統の配置が終盤に飛んでくるので注意
30	SnowMix♪	×	×	×	30.6	185	02:30.3	間奏地帯がかなり厄介だが、16分トリル地帯は3つずつ認識してあげるとかなり取りやすくなる
30	アンノウン・マザーグース	×	×	×	30.6	222	02:13.9	実装当初から29.9を継続していた譜面がついに昇格。最近の30と比べたら圧倒的難しさを誇る
30	星屑ユートピア	×	×	×	30.6	240	02:07.8	トンデモ譜面がついに30に昇格。圧倒的ゴリ押しと方向指定への対処力がかなりの肝
30	ミラクルペイント	×	×	×	30.6	215	02:19.3	たまに8分音符が登場するのでそれを把握しておくのが好記録への近道かもしれない
30	Glory Steady Go!	×	×	×	30.6	131	01:31.6	先行公開の音源聴いて絶対BPM262の16分飛んでくるじゃんって思った。曲良いし楽しい
30	ステラ	×	×	×	30.6	197	02:09.4	16分→同時の形が非常に多い。両手直前のノーツを意識することをオススメする
30	レイニースノードロップ	×	×	×	30.6	192	02:27.5	全体的に地力譜面。アウトロの同時→真ん中2連にやられやすいので身構えよう
30	パラソルサイダー	×	×	×	30.5	176	01:27.6	イントロとアウトロゲー。曲が短く爽快なので運指を理解すればかなり楽しく叩けるはず
30	オーバーコード	×	敷譜面	×	30.5	120	02:36.5	延々とこのBPMで低速ハネをやらされるまあまあツラい譜面。バーコードスライドを読み取ると...
30	ノンブレス・オブリージュ	×	×	×	30.5	148	02:07.3	ラストのコツ歌います。「右で入る次は左次は右手次は左次は右手次は左次は右手次は左次は右手次は左
30	ラストスコア	×	×	×	30.5	134	02:18.8	圧倒的神曲であり推している人も多い。が譜面はかなり指押し推奨配置多め。小粒折り返し5鍵...
30	サラマンダー	×	×	×	30.5	172	02:32.1	フル尺。長い。配置自体は単純めなものがほとんどだが随所に難しめなものもあるので注意
30	STAGE OF SEKAI	×	×	×	30.5	190	01:55.9	神曲神譜面！楽器の各パートが譜面で表されてそう。ちなみにステージのセカイはモモジャン
30	シャンティ	ソフラン	×	×	30.5	144	02:06.2	初めて擬似停止が用いられた譜面。12分+8分の混フレやイントロなどの24分に注意しよう
30	花を唄う	×	×	×	30.5	115	01:48.5	ハネ認識難+終点難+視認難+リズム難という複数の要素が合わさりなかなかに難解
30	泡沫未来	×	×	×	30.5	179	01:41.9	16分ハネリズムの譜面の中にたまに12分混じってくるわ認識難だわジャクポ飛んでくるわ...何？
30	ブリキノダンス	×	×	×	30.5	172	01:35.2	結構むずめの配置を各所にちりばめたみたいな感じの譜面。ゴリ押しの傾向が強い
30	ピアノ×フォルテ×スキャンダル	×	×	×	30.5	135	02:07.8	随所に存在する32分音符が非常に厄介なはずだが、自分含め何故か初見APが多かったらしい...
30	ミルククラウン・オン・ソーネチカ	×	×	×	30.5	127.4567	02:09.0	物量+認識難。さらに中盤に変拍子とかなりの対応力が必要。ドクファン同様BPM半取り
30	我儘姫	×	×	×	30.5	116.19-126	02:18.0	突然16分が現れては24分に戻ったりとリズムが我儘な譜面。間奏のBPMは小数第2位範囲で変化する...
30	フェレス	×	×	×	30.4	220	02:13.1	BPMこそマシンガンと同じだが、ハネリズムなので思ったより体力は不要。落ち着けば取れる
30	Calc.	×	×	×	30.4	173	02:22.0	初めて記録を狙う際はラストの視認難配置が本当に鬼門。同時とそうでない部分を区別しよう
30	てらてら	×	×	×	30.4	190	02:10.4	レオニの30はかなり地力譜面が多い印象。認識難配置や全レーンフリックが絡む配置に注意
30	ザムザ	×	×	×	30.4	121	01:51.1	32分やゴリ押し配置などがかなり際立つが、BPMが遅く得意な人はかなり得意
30	春嵐	×	敷譜面	×	30.4	140	02:15.2	全体を通して16分音符鍵盤なためかなり体力or指押し地力が要るが、配置がかなり素直で直感的
30	RAD DOGS	×	×	×	30.4	140	02:12.0	全体的にむずいのにおまけに変な7連階段と縦連飛んでくるから運指をしっかり組むが吉
30	ネクストネスト	×	×	×	30.4	128	01:59.9	クセが強いスライドや24分の最初が同時な配置などがとても厄介。なんでEXPERT27にした
30	ダンスロボットダンス	×	×	×	30.4	190	01:37.1	スライドのクセ強いのとアウトロむずい。あの声質で原キー出せるえむの中の人is何
30	命に嫌われている	×	×	×	30.4	200	01:36.3	沼ってる人が「判定に嫌われている」って言いがち。小粒と4鍵がポイント
30	ONESELF	×	×	×	30.4	160-170	02:00.6	臨界点を彷徨ってから例のスライドまで7回もBPM変化があるらしい。BPMも彷徨ってるってこと？
30	グッバイ宣言	×	×	×	30.4	170	02:03.5	誘導の多い認識難がちょいちょいって感じで楽しい。やっぱりこの曲は原曲の方が人気かも
30	裏表ラバーズ	×	×	×	30.4	159	01:47.2	ちょい認識難混じってる系超絶乱打譜面。曲が曲なので仕方ない。体力勝負
30	ショウタイム×オーディエンス	×	×	×	30.4	220	01:58.7	中盤に難所が飛んでくるタイプの譜面。終点が統合されている配置が多いが両手操作が吉
30	ブループラネット	ソフラン	×	交差譜面	30.4	186	02:12.9	ミク誕にまさかのサプライズ収録。エモいスライドやシンプルな地力配置など、かなり楽しい
30	スロウダウナー	ソフラン	×	×	30.3	194	02:18.4	付点8分と8分の混フレと取れるリズムが印象的。同時押しは少ない分体力が求められる
30	KING	×	×	×	30.3	166	02:13.0	ダンスロボットダンスに近い譜面傾向だが方向指定フリックがなかなかに面倒
30	magic number	×	×	×	30.3	120	01:46.9	コンテンツのキャストが曲を作るという異例な事態。認識難やアウトロのリズム難のクセが強い
30	リンちゃんなう！	×	×	×	30.3	200	02:23.3	ネタ全開譜面ではあるがシンプルに速いので、16分→同時や方向指定が厄介。黄色ノーツはガチ多い
30	Voices	×	×	×	30.3	190	02:01.3	サイズが大きめのノーツに注意すれば比較的難しくない。ステセカに並びレオニ30の入門か
30	アトラクトライト	×	×	×	30.3	196	02:21.4	BPMは早めだが、16分音符が少ない。小粒スライド地帯は長い方を早めに動かすか、最悪全押し
30	キュートなカノジョ	×	×	×	30.3	160	02:06.7	間奏からは24分7連打が規則的なタイミングで現れる。ところどころの16分には落ち着いて対処しよう
30	夜に駆ける	×	×	×	30.2	130	02:14.8	千本桜パターンの譜面。必要な地力もそこそこ。有名曲だしもう少し易しくしてもいいじゃん...
30	難聴系男子が倒せない	×	×	×	30.2	150	02:20.0	BPMが控えめな代わりにたまに非交互配置が飛んでくるが、それを踏まえてもそこまで難しくない
30	METEOR	×	×	×	30.2	170	02:16.9	30の中でもなかなかに素直な譜面。アウトロ前のスライドはかなりの作り込まれ具合を誇る
30	チームメイト	×	×	×	30.2	180	01:47.3	16分連打が多いがかなり基本的な配置となっている。縦連には少し気を配ろう
30	ヴァンパイア	×	×	×	30.2	164	02:18.1	後半に交互押しじゃない配置や地力を要する配置が多い。モモジャンのカバーも可愛い
30	Awake Now	×	×	交差譜面	30.1	117	01:59.0	ちょーーーーーーーーー楽しい認識難。ドンファイ超劣化版な交差配置もあったりする
30	ダーリンダンス	×	×	×	30.1	153	01:37.8	圧倒的編曲の違和感。ところどころクセがあるが29でも見られるレベルのものが多いかな...
30	下剋上	ソフラン	×	×	30.1	185	02:30.2	圧倒的スクロールを見せつけてくる譜面。どこがハネでどこが8分かの把握は少し必要
30	さよならプリンセス	×	×	×	30.1	195	01:55.1	少しだけ16分からの同時が増えた代わりにBPMが下がったマトリョシカといった感じの譜面
30	Decade	×	×	×	30.0	127	02:16.1	見た目だけ難しいが、要求地力は28レベル。交互押しで大体どうにかなるので頑張ろう
30	マトリョシカ	×	×	×	30.0	205	01:42.4	16分音符→同時が一切ないという珍しすぎるMASTER譜面。弦を弾くときはスライドを動かさない
29	YY	×	×	×	29.9	123	02:20.7	リズムがバカエグい。裏拍からの12分音符4打や32分→12分など、意識が必要になる
29	ドーナツホール	×	×	×	29.9	252	02:15.4	なぜかBPMが半減処理されていない...ECHOに続く8分音符までしかない譜面だが速さ故配置エグい
29	カンタレラ	×	×	×	29.9	144	02:00.8	間奏地帯のBPM288の16分7打は右手を意識するといいかも。局所24分にも注意が必要
29	ヴィラン	×	×	×	29.8	102	02:25.9	終点を離すのが難しく、その影響でGREATが増えがち。長いのもなかなかツラいポイント
29	ニジイロストーリーズ	×	×	×	29.8	115-230	01:55.1	初手にBPM345の16分で4連打となかなかの速さを誇る配置がある上、認識難気味で難しい。元28...
29	だれかの心臓になれたなら	×	×	×	29.8	145	01:52.1	一言で表すなら「悔やむと書いてミライの劣化版」。ただテンポが遅く終点グレが出やすいかも
29	ロストエンファウンド	×	×	×	29.8	92-184	02:25.8	BPM92最初だけかと思ったら最後に戻るんかい。短ロング地帯や最後の5鍵、全レーンフリックが難
29	Booo!	×	×	×	29.7	220	01:31.6	曲が短く詰めやすいのはいいものの、ところどころ29では許されない配置がある...
29	踊	×	×	×	29.7	128	02:15.7	最後のリズムが最近の太鼓の○人並みに変態。間奏地帯がなかなか見ない地力配置となっている
29	スノーマン	×	×	×	29.7	127	02:19.4	低速地力譜面であるが、ところどころ癖の強い配置も見られる。運指を組んでおこう
29	快晴	×	×	×	29.7	172	02:26.7	見かけ上しんどそうな配置がところどころあるが、誘導はしっかりしている。1/12始点にも注意
29	88☆彡	×	×	×	29.7	175	02:02.6	圧倒的局所難譜面。小粒の乱打はしっかりと1拍に4打を意識。12分音符の処理には注意
29	いかないで	×	×	×	29.6	191	01:51.8	曲を知らなかった人「ゆったりした曲なんかなぁ...ってなんで視認難体力譜面飛んできてんの」
29	Gimme×Gimme	×	×	×	29.6	105	02:12.5	某YouTuberのアイコンみたいな配置が他の譜面に増えてきたのでこの譜面で練習しよう
29	ボッカデラベリタ	×	×	×	29.6	170	01:52.9	難易度ごとの評価軸の違い故に元28.9組と0.2も差をつけた定数となった。全体的に難しい要素しかない
29	ナンセンス文学	×	×	×	29.6	154	02:06.4	とにかく付点のリズムも多く曲を熟知しないといけない上に譜面自体もクセがある
29	"Hello,world!"	×	×	×	29.6	211	01:35.7	賛否ある曲の収録だが腐食としては初音ミクが聴けるので賛成派。配置は素直だがシンプルに速い
29	それでもいいんだよ	×	×	×	29.6	132	02:01.8	本当に、神曲。わかりやすめの認識難と32分音符が特徴的な譜面。できなくてもいいんだよ(？)
29	ベノム	×	×	×	29.6	152	02:03.4	やりづらい方向指定やジャケット再現の譜面が特徴的。あまりみずえなの予想はしてなかった
29	PaⅢ.SENSATION	×	×	×	29.6	180	02:07.9	認識難配置はあるがフリックと反対の手で叩き始めればよいという誘導がある。最後の配置コワイ
29	テレキャスタービーボーイ	×	×	×	29.6	182	01:32.0	イントロの方向指定間違えがち(腐食談)。曲が短く詰めやすいがゴリ押し配置も多い
29	ジャックポットサッドガール	×	×	×	29.6	204	01:19.4	最初が光ったらジャックポット。バーチャル・シンガーVerが一風変わって聞こえる
29	フォニイ	×	×	×	29.6	170	02:20.1	嘘で絡まるスライド地帯はあまり動かさずとも取れる。ラストの同時押しに殺された人は数知れず...
29	ラブカ？	×	×	×	29.6	78-135	01:40.8	最初のBPM変化があまりにも変則的。ハネの部分と16分の区別や難しい配置の対策を
29	月光	×	×	×	29.6	109	02:34.1	曲がシャレオツすぎるのよ。しかし長い上に低速ハネリズムなので沼る人は沼る...
29	Be The MUSIC!	×	敷譜面	×	29.5	128	02:30.4	エイプリルフール譜面ということで、BPM256の16分7打やスライドに被るフリックなどお祭り騒ぎ
29	エイリアンエイリアン	×	×	×	29.5	152	02:18.8	ナユタン星人曲特有のクセのあるスライドが多い。シンプルに長く埋めるのが面倒でもある
29	悪役にキスシーンを	×	×	×	29.5	124	02:26.0	間奏地帯の難しさの比重が他に比べかなり高い。なぜ、BPMが、248じゃないのか......
29	フィラメントフィーバー	ソフラン	×	×	29.5	114-229	01:48.9	またまたソフランで遊びにきた。バカ速スライドをなぞるのが楽しい。基本BPMは134
29	星空オーケストラ	×	×	×	29.5	200	01:59.4	BPM300の16分3打が3回登場する驚異の譜面。8分音符地帯はめちゃめちゃ解釈不一致...
29	天樂	×	×	×	29.5	232	02:29.0	Bメロのトレースを活かした持ち替え配置が本当に天才。シンプルにゴリ押し力が要るので耐えよう
29	神のまにまに	×	×	×	29.5	135	02:06.1	BPM135の24分や32分があまりにも乱発されている譜面。しっかり歯切れよく叩こう
29	リアライズ	×	敷譜面	×	29.5	150	01:29.2	地力要素が縦連に結構偏っている譜面。逆に言えば、腕を温めれば結構ラクかもしれない
29	携帯恋話	×	×	×	29.5	150	02:15.0	同時押しが絡んでくる16分音符がなかなかに厄介。これでも初期は29弱だったんだよ......
29	嗚呼、素晴らしきニャン生	×	×	×	29.5	194	02:21.9	何の変哲もないハネリズム譜面といった感想。GUMIとレンのパートでロングの色分けがされている
29	アイムマイン	×	×	×	29.5	135	02:32.4	Blessingの引用がマジでエモい。押す必要のない「Hz」や序盤の448分(配置ミス？)が印象的
29	デビルじゃないもん	ソフラン	×	×	29.5	154	01:56.5	最初の演出に全ての記憶を持っていかれる譜面。シンプルな4k配置やラストのリズムヤバ配置も注意
29	DAYBREAK FRONTLINE	×	×	×	29.5	136	02:13.9	セカイVer.で一番いい音源とされている(腐食談)。地力配置が多めだがたまに認識難も
29	＊ハロー、プラネット。	×	×	×	29.5	150	01:53.8	小粒ツギハギ並に多い！スライドクセ強い！指押し配置多い！まさに宇宙から来た譜面
29	Flyer!	×	×	×	29.5	188	01:58.4	疾走感のある楽しい曲。後半は認識難気味であるがすぐに慣れるような配置をしている
29	お気に召すまま	×	×	×	29.5	143	01:47.0	ドラマツルギーと同じ定数だったが、物理難や24分が難しくかなり定数に差がつくことになった
29	白い雪のプリンセスは	ソフラン	×	×	29.4	200	02:16.1	中盤の短ホールドラッシュだけ圧倒的に難しい。ラストのロングノーツ交差ギミックは新鮮
29	Bad ∞ End ∞ Night	×	×	×	29.4	132-204	01:54.7	拍の調整の関係で低速の中継点がおかしかったり、サビに何故か16分音符が混じっているハネ譜面
